neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2,20,1.33917,103.82306,0,89.0,2,78,7,1.1,2,342
2,9,1.30292,103.85799999999999,0,90.0,1,2,602,0.08,7,233
2,20,1.32389,103.84872,0,131.0,1,1,25,1.0,2,0
2,15,1.28425,103.8432,1,50.0,1,134,16,1.91,5,301
2,15,1.28446,103.8446,1,300.0,1,2,534,0.04,5,275
2,15,1.28467,103.84326999999999,1,50.0,1,83,6,1.22,5,298
2,15,1.28556,103.84198,0,58.0,90,0,2137,1.04,83,355
2,27,1.29857,103.84748,2,194.0,14,11,262,0.18,1,301
2,15,1.28459,103.84217,0,56.0,18,3,88,0.08,112,356
2,5,1.30626,103.83994,0,85.0,3,11,27,0.39,18,334
2,10,1.30669,103.80043,0,40.0,183,0,2137,1.04,1,88
2,19,1.3190899999999999,103.85741,0,33.0,180,1,1867,0.02,1,364
2,6,1.31435,103.88616999999999,2,169.0,3,19,36,0.28,1,332
4,29,1.38717,103.74256,0,60.0,183,0,2137,1.04,2,365
3,2,1.34566,103.95994,0,90.0,1,9,42,0.15,9,361
2,17,1.31742,103.82571999999999,2,160.0,7,24,22,0.35,19,365
3,3,1.3199299999999998,103.92342,0,90.0,2,0,2137,1.04,2,365
2,15,1.2819,103.83849000000001,0,50.0,6,6,676,0.09,1,54
3,2,1.34574,103.95945,0,260.0,1,4,83,0.14,9,357
2,23,1.28968,103.84631999999999,2,219.0,3,11,341,0.57,2,311
5,25,1.36724,103.84722,0,44.0,21,0,2137,1.04,1,0
2,6,1.31539,103.88257,0,40.0,18,1,885,0.03,112,353
3,3,1.31944,103.91529,0,68.0,90,3,1201,0.05,3,362
3,3,1.32249,103.92316,0,118.0,90,2,1210,0.05,3,363
2,7,1.29726,103.84263,0,221.0,90,0,2137,1.04,1,0
2,14,1.3377,103.88248,2,140.0,5,2,969,0.05,2,0
3,3,1.32111,103.92206,0,68.0,90,5,1619,0.07,3,365
3,3,1.3196299999999999,103.92399999999999,0,94.0,3,0,2137,1.04,2,365
2,21,1.27365,103.84354,2,240.0,5,8,1465,0.12,1,0
2,20,1.32359,103.85063000000001,0,360.0,30,2,1865,0.03,3,173
4,29,1.38768,103.74476,2,118.0,10,0,2137,1.04,2,294
2,14,1.33903,103.88474000000001,0,60.0,3,49,21,0.77,2,345
2,20,1.3234700000000001,103.85213,0,381.0,5,11,1080,0.18,3,180
2,7,1.29815,103.83895,2,140.0,1,100,43,1.46,48,327
2,7,1.29549,103.83931,2,140.0,2,107,19,1.55,48,323
4,29,1.38686,103.74468,0,64.0,4,29,1626,0.42,2,23
4,22,1.34891,103.77136999999999,0,69.0,1,7,282,0.14,4,364
2,15,1.2815299999999998,103.84808000000001,2,250.0,3,163,9,2.39,1,29
2,19,1.31609,103.85813,0,99.0,1,8,385,0.18,11,358
2,20,1.3164200000000001,103.8398,2,89.0,2,7,753,0.18,1,0
3,3,1.32122,103.91492,2,139.0,2,323,5,4.72,1,239
2,20,1.32423,103.85293,0,281.0,3,21,1061,0.36,3,180
2,7,1.29488,103.83973,0,87.0,1,98,16,1.44,48,346
4,29,1.38602,103.74316,0,32.0,3,60,58,0.89,2,0
5,18,1.36867,103.89905,0,50.0,4,7,7,0.12,2,334
2,15,1.28388,103.84398,0,50.0,28,2,1197,0.04,112,333
1,0,1.44076,103.77626,0,31.0,183,5,1870,0.07,1,365
2,23,1.29041,103.83482,2,150.0,365,0,2137,1.04,1,365
2,15,1.2844799999999998,103.8436,0,69.0,1,307,16,5.44,3,315
2,19,1.31196,103.85961999999999,0,342.0,1,23,11,0.35,20,357
2,7,1.29462,103.83855,2,200.0,1,142,19,2.13,48,309
2,19,1.2990700000000002,103.87601,0,58.0,7,52,1671,0.77,1,0
2,19,1.3119299999999998,103.85951999999999,0,253.0,1,2,781,0.04,20,356
2,19,1.31254,103.85963000000001,0,303.0,1,48,36,0.77,20,358
2,19,1.3120100000000001,103.85970999999999,0,54.0,2,29,33,0.99,20,358
2,19,1.31215,103.85982,0,135.0,1,50,47,1.05,20,360
2,19,1.31125,103.86083,0,54.0,2,6,199,0.13,20,363
2,1,1.33746,103.78052,2,119.0,2,3,503,0.1,1,118
2,27,1.2942,103.84283,2,108.0,3,31,57,0.47,2,338
2,14,1.33792,103.88593,0,60.0,3,57,27,0.88,2,350
2,15,1.2830000000000001,103.84399,0,89.0,1,121,14,1.96,3,333
2,15,1.28409,103.84514,0,67.0,1,19,16,0.29,3,0
2,15,1.28674,103.84073000000001,2,250.0,90,24,180,0.37,2,289
2,19,1.32692,103.86459,0,40.0,90,0,2137,1.04,1,349
2,4,1.27819,103.83072,0,119.0,2,1,239,0.12,2,365
2,19,1.31138,103.86104,0,36.0,28,1,423,0.07,83,331
2,7,1.2977299999999998,103.83919,2,128.0,2,70,14,1.08,48,321
2,20,1.31626,103.84444,0,81.0,6,43,52,0.65,1,215
2,10,1.3069899999999999,103.80159,1,69.0,1,0,2137,1.04,1,365
3,3,1.32823,103.94835,0,56.0,3,21,2,0.35,13,73
2,19,1.31254,103.85068000000001,2,200.0,4,24,612,0.4,203,33
2,7,1.29519,103.84185,2,150.0,14,7,399,0.11,1,17
2,6,1.31566,103.8859,2,90.0,1,52,22,0.82,67,45
2,6,1.31531,103.88561,2,93.0,5,44,41,0.68,67,73
4,29,1.39834,103.74972,0,31.0,365,0,2137,1.04,1,365
2,7,1.29645,103.83972,2,200.0,1,97,58,1.53,48,315
2,7,1.2964799999999999,103.83877,2,106.0,1,217,24,3.41,48,335
5,31,1.3876899999999999,103.89361,0,25.0,180,0,2137,1.04,2,365
2,10,1.28132,103.7854,0,49.0,1,8,16,0.18,32,350
2,24,1.30021,103.84288000000001,0,69.0,90,0,2137,1.04,2,364
2,4,1.28376,103.83081999999999,2,139.0,2,17,66,0.28,26,338
2,19,1.31047,103.86095999999999,1,35.0,1,19,1238,0.31,3,0
5,18,1.36103,103.88356,0,83.0,1,9,31,0.15,1,364
2,27,1.2986,103.84659,0,110.0,90,6,86,0.1,2,215
2,14,1.3396700000000001,103.86901,2,228.0,60,6,1432,0.11,1,365
2,4,1.27811,103.83379000000001,2,254.0,7,4,1144,0.06,1,0
2,19,1.29575,103.86549000000001,2,275.0,3,0,2137,1.04,1,0
2,7,1.29792,103.83781,2,125.0,2,93,20,1.5,48,305
2,6,1.3160100000000001,103.88579,2,92.0,1,63,28,0.99,67,77
2,19,1.31239,103.85200999999999,2,300.0,2,3,1534,0.05,1,0
2,19,1.31619,103.85983,0,137.0,1,31,162,0.67,11,365
2,19,1.31472,103.86022,1,44.0,1,5,919,0.08,11,365
2,19,1.31437,103.86017,0,60.0,1,2,58,0.08,11,342
2,6,1.3139299999999998,103.88749,2,85.0,5,62,58,1.13,67,84
2,19,1.3108600000000001,103.85883000000001,1,37.0,1,18,238,0.28,3,0
2,19,1.30997,103.86052,0,150.0,1,0,2137,1.04,3,0
2,15,1.28362,103.84552,2,131.0,2,52,15,1.03,12,355
2,15,1.28378,103.8431,2,126.0,90,1,951,0.03,1,282
2,15,1.28216,103.84714,0,200.0,10,17,1479,0.27,1,365
2,6,1.31562,103.88586,2,85.0,60,41,160,0.66,67,26
2,7,1.29508,103.84085,2,181.0,5,2,1886,0.03,1,0
3,2,1.34948,103.96321,0,81.0,90,10,451,0.16,1,362
2,4,1.28667,103.82935,0,81.0,1,0,2137,1.04,1,0
5,25,1.37398,103.83069,0,110.0,2,43,75,0.7,3,355
3,13,1.36449,103.95931,0,81.0,180,0,2137,1.04,1,365
2,6,1.31228,103.89520999999999,2,200.0,30,22,106,0.35,203,352
2,12,1.30287,103.9005,2,250.0,4,0,2137,1.04,1,0
2,7,1.2949899999999999,103.83851999999999,2,219.0,2,154,31,2.99,48,266
5,25,1.3766399999999999,103.85238000000001,0,221.0,1,0,2137,1.04,1,0
2,7,1.2978299999999998,103.83936,2,137.0,1,179,15,2.87,48,288
5,11,1.3736,103.87644,0,57.0,2,118,25,2.67,1,338
2,15,1.28318,103.84335,1,31.0,1,137,43,2.25,13,359
2,15,1.2845799999999998,103.84298000000001,1,31.0,1,80,290,1.3,13,46
5,18,1.36719,103.89234,0,86.0,10,2,1053,0.04,2,89
2,23,1.28955,103.83861,2,206.0,2,18,1011,0.29,1,0
2,1,1.3319,103.76533,2,150.0,2,41,14,0.69,1,25
2,5,1.31122,103.84108,2,179.0,7,0,2137,1.04,1,0
2,15,1.28496,103.84318,1,31.0,1,192,60,3.1,13,46
2,15,1.28439,103.84308,1,31.0,1,177,16,2.86,13,46
2,15,1.2852,103.84215999999999,0,60.0,90,1,91,0.32,112,361
2,6,1.31492,103.88801,2,89.0,4,40,40,0.66,67,134
2,15,1.28262,103.84487,1,31.0,1,18,324,0.3,13,365
2,15,1.28354,103.84331,0,140.0,2,48,9,0.82,13,168
2,6,1.3155,103.88596,2,85.0,30,59,63,0.96,67,86
2,7,1.2953299999999999,103.83797,2,150.0,2,220,30,3.66,48,260
4,32,1.29798,103.7668,0,44.0,2,3,1388,0.06,1,0
2,6,1.31379,103.88577,2,93.0,1,25,65,0.42,67,84
2,9,1.30376,103.85923000000001,0,58.0,1,20,563,0.44,7,233
2,9,1.3017100000000001,103.85959,0,90.0,1,6,759,0.1,7,233
2,7,1.29597,103.8382,2,137.0,1,63,207,1.03,48,337
4,8,1.3418700000000001,103.71115,0,50.0,2,0,2137,1.04,1,0
2,1,1.32986,103.81296999999999,0,150.0,90,26,283,0.53,3,90
2,17,1.32045,103.82115999999999,2,237.0,3,61,15,1.01,3,36
2,6,1.31586,103.88559000000001,2,90.0,1,78,50,1.28,67,10
2,6,1.31565,103.88576,2,94.0,1,61,14,1.0,67,77
2,6,1.3125,103.89761,2,199.0,28,75,65,1.25,1,163
4,22,1.3471,103.77532,2,158.0,12,53,19,0.88,1,138
5,25,1.37478,103.83140999999999,0,135.0,2,26,14,0.43,3,360
5,25,1.3732600000000001,103.82961999999999,0,125.0,2,18,30,0.3,3,358
2,4,1.2900200000000002,103.82315,0,65.0,1,5,1332,0.09,1,0
2,6,1.3146200000000001,103.89173000000001,0,69.0,14,0,2137,1.04,1,0
2,24,1.30459,103.82464,0,122.0,1,1,224,0.13,2,361
2,9,1.30176,103.85217,2,244.0,2,77,18,2.2,3,74
4,26,1.34779,103.7442,0,156.0,1,0,2137,1.04,1,365
5,11,1.3451799999999998,103.86094,0,69.0,1,77,19,1.27,3,56
2,9,1.30148,103.85813,0,58.0,1,28,366,0.47,7,233
5,18,1.3731799999999998,103.90151999999999,1,29.0,90,5,927,0.08,1,363
3,3,1.31808,103.90581999999999,0,78.0,1,1,1766,0.02,1,362
2,19,1.31944,103.86222,2,387.0,7,47,24,0.78,203,262
2,6,1.31464,103.88672,2,83.0,1,73,27,1.22,67,141
2,6,1.3137,103.88765,2,90.0,10,40,19,0.68,67,4
2,9,1.30348,103.85969,0,58.0,1,10,621,0.2,7,233
4,33,1.33856,103.73562,0,65.0,1,34,28,0.92,1,329
2,6,1.31633,103.88539,2,90.0,4,49,17,0.83,67,64
2,19,1.3128799999999998,103.85969,0,62.0,1,21,2,0.66,20,358
2,19,1.3115700000000001,103.8598,0,56.0,1,189,11,5.63,20,343
2,20,1.32772,103.85239,2,358.0,7,32,203,0.54,203,275
2,15,1.28223,103.83867,0,50.0,180,0,2137,1.04,1,365
2,1,1.31995,103.79426,2,160.0,5,8,584,0.2,1,69
2,6,1.31444,103.88709,2,85.0,5,41,26,0.79,67,123
2,17,1.31539,103.82585999999999,2,281.0,7,29,41,0.48,19,362
2,6,1.31131,103.88343,0,60.0,1,47,25,0.8,37,346
2,6,1.31372,103.88716,2,85.0,4,72,15,1.37,67,69
2,15,1.28278,103.8445,1,31.0,1,44,16,0.77,13,363
2,15,1.28332,103.8433,1,31.0,1,18,15,0.31,13,365
2,23,1.29088,103.83891,0,115.0,2,0,2137,1.04,1,0
2,20,1.31718,103.84286999999999,0,89.0,2,13,1111,0.22,2,355
2,4,1.27254,103.8337,2,306.0,2,188,18,3.16,1,324
2,17,1.29312,103.82979,2,218.0,2,289,12,4.9,1,231
2,19,1.31409,103.87213,2,249.0,1,98,22,1.64,7,351
4,8,1.34546,103.72309,2,268.0,5,4,751,0.07,15,365
2,20,1.32419,103.85284,2,237.0,5,26,579,0.44,203,261
2,17,1.31566,103.82666,2,118.0,7,48,8,0.81,19,348
2,7,1.29671,103.83999,0,94.0,1,100,42,1.71,48,336
4,33,1.3367799999999999,103.73758000000001,0,79.0,5,10,31,0.17,15,348
4,33,1.33669,103.7374,2,258.0,5,14,825,0.33,15,348
2,12,1.30789,103.89646,2,164.0,14,4,1157,0.07,1,0
4,8,1.34702,103.72274,0,62.0,3,3,73,0.05,15,365
4,8,1.34615,103.72261,0,62.0,3,1,1675,0.02,15,365
2,1,1.3334700000000002,103.78634,2,208.0,1,0,2137,1.04,1,0
2,6,1.31503,103.88605,2,94.0,1,55,44,0.95,67,69
4,33,1.34746,103.73203000000001,0,28.0,1,0,2137,1.04,1,0
2,17,1.29377,103.82844,2,160.0,30,170,368,3.05,1,0
2,19,1.32712,103.86468,2,131.0,3,36,32,0.63,1,340
2,4,1.2730299999999999,103.82783,0,89.0,10,1,550,0.05,1,0
2,14,1.3307799999999999,103.86782,2,219.0,1,0,2137,1.04,1,0
2,6,1.31025,103.88325999999999,0,60.0,1,109,15,1.86,37,333
2,6,1.3110700000000002,103.88292,0,60.0,1,102,14,1.73,37,346
2,6,1.31045,103.88114,0,60.0,1,187,15,3.2,37,324
2,9,1.30115,103.8479,2,224.0,5,0,2137,1.04,1,0
2,5,1.30475,103.84031999999999,0,99.0,3,6,38,0.11,18,364
2,21,1.27522,103.84696,2,387.0,2,148,11,2.59,14,287
3,3,1.31467,103.93974,2,137.0,1,35,3,0.6,1,349
2,15,1.28142,103.84522,2,250.0,1,2,1340,0.04,1,0
2,20,1.32546,103.8519,2,149.0,3,28,411,0.49,203,257
2,6,1.31473,103.88733,2,92.0,7,33,134,0.62,67,49
2,19,1.29775,103.88341,2,100.0,90,4,1575,0.07,1,209
5,11,1.3443200000000002,103.86255,0,78.0,1,42,316,0.73,3,267
2,17,1.3165200000000001,103.82739000000001,2,240.0,7,15,11,0.26,19,329
5,31,1.39042,103.90796,0,108.0,2,0,2137,1.04,1,358
2,4,1.27804,103.80806,2,81.0,1,0,2137,1.04,1,0
5,11,1.3448,103.86144,0,67.0,3,42,16,0.72,3,40
3,3,1.32899,103.94787,0,119.0,3,39,100,0.67,13,78
5,11,1.38785,103.8694,2,81.0,84,9,392,0.16,1,88
